Genotype,L1W,L2W,L3W,L4W,L5W,L6W,L7W
R041-R113,4.8,6.7,8.1,9.7,10.1,9.7,9.4
R041-R135,4.5,6.6,8.4,9.2,9.2,8.7,7.9
R042-R136,4.2,5.7,7.1,8.1,9.0,9.1,8.5
R042-R145,4.1,5.5,6.7,7.9,8.4,8.5,8.2
R043-R115,4.5,6.6,8.4,9.2,9.2,8.7,7.9
R043-R144,5.0,6.5,8.3,9.3,9.6,9.5,9.0
R043-R163,4.8,6.9,8.4,9.4,9.8,9.6,9.2
R045-R096,4.9,7.3,8.9,9.1,9.5,9.2,8.3
R045-R117,4.9,6.4,8.3,9.2,9.4,9.0,8.8
R046-R139,4.9,6.7,8.2,8.9,9.4,9.2,8.6
R046-R140,4.9,6.7,8.2,8.9,9.4,9.2,8.6
R046-R166,4.4,6.1,7.4,8.4,9.1,8.9,8.2
R053-R101,4.7,6.6,7.9,9.0,9.6,9.6,9.2
R053-R121,4.2,5.7,7.1,8.1,9.0,9.1,8.5
R054-R122,4.4,6.2,7.3,8.4,9.1,8.9,8.2
R055-R103,4.6,6.5,8.0,9.0,9.6,9.3,8.7
R055-R134,5.0,7.3,8.8,9.9,10.2,10.2,9.5
R056-R133,4.8,6.7,8.5,9.5,9.8,9.8,9.4
R056-R148,4.7,6.5,7.9,8.6,9.2,9.0,8.5
R056-R172,4.5,5.9,7.3,8.4,9.1,9.0,8.4
R060-R107,5.1,7.3,8.5,9.9,10.4,10.1,9.2
R060-R129,4.9,6.7,8.2,8.9,9.4,9.2,8.6
R060-R151,5.2,7.3,9.0,9.7,9.9,9.8,8.7
R063-R109,4.7,6.4,8.0,9.0,9.6,9.3,8.7
R063-R128,4.9,7.3,8.9,9.1,9.5,9.2,8.3
R064-R110,4.6,6.5,7.8,9.0,9.6,9.3,8.4
R064-R127,4.4,6.1,7.7,8.8,9.2,8.5,8.5
R064-R132,4.7,6.9,8.3,9.3,9.3,9.1,8.6
R067-R112,4.7,6.4,8.0,9.3,9.3,9.0,8.1
R067-R124,4.8,6.7,8.3,9.0,9.3,9.0,8.3
R068-R135,5.0,7.4,9.4,10.6,10.8,10.4,9.6
R069-R114,4.8,6.7,8.3,9.6,10.0,9.3,8.4
R069-R121,4.4,6.0,7.1,8.1,8.3,8.4,7.9
R069-R158,4.6,6.4,8.1,8.8,9.4,8.9,8.9
R070-R095,4.6,6.2,7.8,8.8,9.2,8.5,8.5
R070-R115,4.4,6.3,7.9,9.0,9.3,9.2,8.7
R070-R120,4.7,6.3,7.9,9.0,9.7,9.4,9.2
R070-R159,4.7,6.3,7.9,9.0,9.7,9.4,9.2
R071-R096,4.5,6.8,8.5,9.9,10.4,10.1,9.2
R071-R116,4.5,6.8,8.5,9.9,10.4,10.1,9.2
R072-R097,5.1,7.3,8.5,9.9,10.4,10.1,9.2
R072-R117,4.7,6.7,8.0,9.1,9.6,10.0,9.8
R073-R117,5.3,7.2,8.7,9.6,10.0,9.3,8.9
R074-R119,5.1,6.8,8.6,9.7,9.9,9.7,9.2
R074-R163,5.1,6.8,8.6,9.7,9.9,9.7,9.2
R075-R115,4.5,6.8,8.5,9.9,10.4,10.1,9.2
R075-R144,5.0,6.9,8.6,9.5,9.5,9.3,8.9
R077-R166,4.8,6.3,8.0,8.7,8.5,8.5,8.2
R078-R124,4.7,6.1,7.7,8.5,8.6,8.4,7.9
R078-R167,4.2,6.0,7.4,8.6,9.2,8.6,8.1
R082-R171,4.7,6.2,7.4,8.7,8.9,8.8,8.6
R083-R107,5.4,7.0,8.4,9.7,10.0,9.6,9.3
R083-R109,4.8,6.7,8.3,9.6,10.0,9.3,8.9
R083-R152,4.4,6.4,7.8,8.6,9.0,8.8,8.1
R083-R172,4.9,6.3,8.3,9.0,9.3,9.0,8.3
R084-R106,5.3,7.5,8.8,9.9,9.9,9.7,9.2
R084-R131,5.1,6.8,8.6,9.7,9.9,9.7,9.2
R084-R153,4.6,6.7,8.7,9.6,10.0,9.3,8.9
R086-R104,5.0,7.2,9.0,9.3,9.5,9.6,9.2
R086-R133,5.0,6.8,8.6,9.7,10.2,9.5,9.3
R087-R113,5.4,8.1,9.7,10.0,10.0,9.6,9.2
R087-R134,5.2,7.6,8.8,9.9,9.9,9.7,9.2
R088-R102,5.1,6.8,8.6,9.7,9.9,9.7,9.2
R088-R135,5.1,7.3,9.1,10.1,10.1,9.8,9.2
R088-R167,4.8,6.7,8.3,9.6,9.6,9.0,8.7
R089-R115,4.6,6.4,8.1,8.8,9.4,8.9,8.9
R089-R136,4.6,6.3,7.7,8.8,9.5,9.3,8.9
R089-R178,5.0,7.2,8.5,9.6,9.9,9.5,9.3
R090-R100,4.9,6.6,8.4,9.6,9.6,9.0,8.7
R093-R118,4.4,6.0,7.1,8.1,8.3,8.4,7.9
R093-R161,4.1,5.9,7.4,8.6,9.0,8.8,8.1
R095-R001,4.6,6.4,8.1,9.1,9.3,9.3,8.6
R096-R094,5.1,6.8,8.6,9.7,9.9,9.7,9.2
R097-R003,4.9,6.7,8.4,9.6,9.8,9.6,9.1
R097-R045,4.8,6.9,8.3,9.3,9.6,9.3,8.6
R097-R093,4.7,5.9,7.5,8.1,9.2,8.9,8.6
R100-R027,4.4,6.7,8.4,9.6,9.8,9.6,9.1
R100-R074,4.8,6.3,8.0,8.7,8.5,8.5,8.2
R101-R006,4.7,6.1,7.7,8.8,9.2,8.9,8.6
R101-R028,5.2,7.4,9.1,10.1,10.1,9.8,9.2
R101-R075,4.6,6.7,8.4,9.6,9.8,9.6,9.1
R101-R089,4.4,6.0,7.4,8.6,9.0,8.8,8.1
R102-R007,5.2,7.6,9.2,9.9,9.9,9.7,9.2
R102-R029,4.8,6.3,8.0,8.7,8.5,8.5,8.2
R102-R054,4.9,6.6,8.4,9.6,9.6,9.1,8.5
R102-R076,4.7,6.1,7.7,8.8,9.2,9.1,8.7
R103-R008,4.5,6.9,8.2,9.3,9.8,9.1,8.7
R103-R077,5.0,7.1,8.7,9.8,9.9,9.6,9.2
R103-R087,4.9,6.6,8.4,9.6,9.6,9.1,8.5
R104-R009,5.0,6.8,8.6,9.5,9.9,9.6,9.2
R104-R031,4.7,7.0,8.4,9.7,10.0,9.6,9.3
R104-R078,4.8,6.8,7.9,9.5,9.9,9.6,9.2
R104-R086,5.3,7.3,9.1,10.1,10.3,10.1,9.5
R105-R032,4.7,7.1,8.7,9.8,9.9,9.4,8.2
R105-R085,4.8,6.9,8.7,9.7,9.9,9.5,9.3
R106-R011,4.9,6.6,8.4,9.6,9.6,9.1,8.5
R106-R033,5.3,7.3,8.8,9.5,10.0,9.9,9.0
R106-R059,4.7,6.8,7.8,8.9,8.8,8.6,8.2
R106-R084,5.3,7.4,8.6,9.5,10.0,9.9,9.2
R108-R004,4.5,6.9,8.2,9.3,9.8,9.1,8.7
R108-R082,4.6,6.5,8.1,9.0,9.3,9.3,9.0
R109-R081,4.9,6.7,8.3,8.6,9.2,8.9,8.4
R109-R137,5.5,7.6,9.0,9.7,10.0,10.0,9.6
